Persecution at School	Sukuu Ɔtae
This does take effort .	Eyi gye mmɔdenbɔ .
You have free will .	Woyɛ obi a wutumi paw nea wopɛ .
What a sobering lesson !	Asuade a anibere wom bɛn ara ni !
Will you listen ?	So wubetie ?
In Search of Paradise	Paradise a Wɔhwehwɛ
AS TOLD BY PASCAL STISI	SƐNEA PASCAL STISI KA KYERƐE
I felt sick at heart .	Midii yaw wɔ me koma mu .
Back to the Land	Mesan De M’adwene Kɔ Asase no So
And the church ?	Na asɔre mu nso ɛ ?
Forget it !	Na enni m’adwenem koraa !
Belief in God Awakens	Onyankopɔn mu Gyidi a Minyae
The Answer to My Prayers	Me Mpaebɔ Ho Mmuae
Two men came to see me .	Mmarima baanu bɛsraa me .
Our house was empty .	Na obiara nni yɛn fie hɔ .
Making Spiritual Progress	Honhom Mu Nkɔso a Minyae
Help While in Distress	Mmoa a Minyae Wɔ Ahohia Mu
I was devastated .	Me werɛ howee yiye .
Yes , God is alive !	Yiw , Onyankopɔn te ase !
[ Footnote ]	[ Ase hɔ asɛm ]
[ Pictures on page 26 ]	[ Kratafa 19 mfonini ]
Why ?	Dɛn ntia ?
Who Was Baal ?	Ná Hena Ne Baal ?
Why So Attractive ?	Dɛn Nti na Wɔn Ani Gyee Ho Saa ?
Sex was glorified .	Wɔkamfoo ɔbarima ne ɔbea nna .
Who Was Victorious ?	Hena na Odii Nkonim ?
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
Musée du Louvre , Paris	Musée du Louvre , Paris
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
How Long Can We Live ?	Bere Tenten Bɛn na Yebetumi Atra Ase ?
Why ?	Dɛn ntia ?
Designed to Live Forever	Wɔyɛe sɛ Ɛntra Hɔ Daa
With what consequence ?	Dɛn na ebefi mu aba ?
8 , 9 .	8 , 9 .
Whom Should We Trust ?	Hena na Ɛsɛ sɛ Yenya Ne Mu Ahotoso ?
Not at all !	Dabida !
There is a way !	Ɔkwan bi wɔ hɔ !
Why not trust in man ?	Dɛn nti na ɛnsɛ sɛ yɛde yɛn ho to onipa so ?
Yes , it is !	Yiw , mfaso wɔ so !
God’s Purpose Unchanged	Onyankopɔn Atirimpɔw Nsesae
In heaven ?	Ɔsoro ?
No !	Dabi !
Not at all !	Dabida !
How Would You Answer ?	Wubebua Dɛn ?
1 , 2 .	1 , 2 .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Role of Jesus Christ	Dwuma a Yesu Kristo Di
The Promised Seed	Aseni a Wɔhyɛɛ Ne Ho Bɔ No
Why ?	Dɛn ntia ?
A Glorious Prospect	Anidaso a Ɛyɛ Anigye
15 , 16 .	15 , 16 .
Surely it is .	Akyinnye biara nni ho sɛ ntease wom .
In what way ?	Ɔkwan bɛn so ?
Added to what ?	Wɔde wɔn bɛkaa dɛn ho ?
How Would You Answer ?	Wubebua Dɛn ?
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
[ Picture on page 11 ]	[ Kratafa 11 mfonini ]
No one expected him to .	Obiara anhwɛ kwan sɛ ɔbɛyɛ saa .
How did Jesus respond ?	Yesu yɛɛ n’ade dɛn wɔ ho ?
Satan’s Critical Spirit	Satan Kateeyɛ Honhom
Imitate God and Christ	Suasua Onyankopɔn ne Kristo
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
Recognizing the Symptoms	Nsɛnkyerɛnne no a Yebehu
[ Blurb on page 19 ]	[ Asɛm a wɔafa aka wɔ kratafa 24 ]
[ Blurb on page 21 ]	[ Asɛm a wɔafa aka wɔ kratafa 28 ]
ASK YOURSELF . . .	BISA WO HO SƐ . . .
Why ?	Dɛn ntia ?
The Predestination Issue	Nkrabea Ho Asɛm
Most chose exile .	Wɔn mu dodow no ara pawee sɛ wobefi ɔman no mu .
Some were farmers .	Ná ebinom yɛ akuafo .
The Collegiants ’ Beliefs	Collegiantfo Gyidi Ahorow
They did .	Ampa wɔsan wuwui .
The Early Church .	Tete Asɔre No .
The Reformation .	Ɔsesɛw No .
Kingdom and Paradise .	Ahenni ne Paradise .
Trinity .	Baasakoro .
*	*
Weekly Meetings	Dapɛn Dapɛn Nhyiam Ahorow
National Assemblies	Ɔman Nhyiam Ahorow
Why ?	Dɛn ntia ?
Why They Faded Away	Nea Enti a Egui
[ Footnotes ]	[ Ase hɔ asɛm ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
[ Picture on page 24 ]	[ Kratafa 20 mfonini ]
Rembrandt van Rijn	Rembrandt van Rijn
[ Pictures on page 26 ]	[ Kratafa 19 mfonini ]
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
Consider two situations .	Susuw tebea ahorow abien ho .
Now a contrast .	Afei nea ɛne no bɔ abira no .
[ Footnote ]	[ Ase hɔ asɛm ]
How so ?	Ɔkwan bɛn so ?
This is the dream of Dr .	Eyi ne Dr .
Most assuredly !	Ɛte saa ankasa !
Do You Remember ?	So Wokae ?
By practicing .	Ɛne sɛ wɔbɛtaa akenkan ade .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Everyone Wants to Be Free	“ Wɔde ahofadi awo onipa , nanso ɔda mpokyerɛ mu wɔ baabiara , ”
Born free .	Wɔwo yɛn wɔ ahofadi mu .
Still “ in Chains ”	Wɔda So Ara “ Wɔ Mpokyerɛ Mu ”
Will this ever change ?	So nsakrae bɛba eyi mu da bi ?
The Bible says yes !	Bible ka sɛ yiw !
XIII	XIII
Everyone Will Be Free	Obiara Benya Ahofadi
Says historian J .	Abakɔsɛm kyerɛwfo J .
M .	M .
F .	F .
Bruce .	F .
“ Subjected to Futility ”	‘ Wɔde Ahyɛ Adehunu Ase ’
Why was this the case ?	Dɛn nti na ɛbaa saa ?
True Freedom at Last	Nokware Ahofadi Anya Aba
How so ?	Ɔkwan bɛn so ?
[ Pictures on page 6 ]	[ Mfonini ahorow wɔ kratafa 18 ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
T .	T .
Russell back in 1877 .	Russell adwene wɔ afe 1877 mu no ho hia wo nso .
Professor D .	Ɔbenfo D .
A .	A .
Since the days of C .	Efi C .
T .	T .
* Let us review it .	* Ma yɛnhwehwɛ mu .
How did that come about ?	Ɔkwan bɛn so na eyi fa bae ?
Who were they ?	Henanom ho asɛm na yɛreka yi ?
9 , 10 .	9 , 10 .
12 , 13 .	12 , 13 .
*	*
And that they did !	Na wohui nso !
The facts answer yes .	Nokwasɛm ahorow ma mmuae no yɛ yiw .
16 - 18 .	16 - 18 .
Judgment Ahead !	Atemmu Reba !
Why ?	Dɛn ntia ?
[ Footnotes ]	[ Ase hɔ asɛm ]
British scholar G .	Britaniani nhomanimfo G .
R .	F .
Do You Recall ?	So Wokae ?
[ Picture on page 12 ]	[ Kratafa 25 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
Most Jews ignored him .	Yudafo dodow no ara buu wɔn ani guu ne so .
2 , 3 .	2 , 3 .
Readers of what ?	Akenkanfo a wɔkenkan dɛn ?
9 , 10 .	9 , 10 .
Apparently so .	Ɛda adi saa .
How so ?	Ɔkwan bɛn so ?
11 , 12 .	11 , 12 .
W .	W .
* How will this happen ?	* Eyi bɛba wɔ ɔkwan bɛn so ?
A Future Attack	Daakye Ntua
14 , 15 .	14 , 15 .
At whose hands ?	Wɔ henanom nsam ?
Evidently so .	Ɛte saa .
“ Fleeing ” ​ — How ?	‘ Yenguan ’ — Ɔkwan Bɛn So ?
18 , 19 .	18 , 19 .
Hardly .	Ɛnte saa koraa .
Millions have done so .	Nnipa ɔpepem pii anya .
[ Footnotes ]	[ Ase hɔ asɛm ]
Do You Recall ?	So Wokae ?
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
[ Picture on page 18 ]	[ Kratafa 16 mfonini ]
They live accordingly .	Wɔde wɔn asetra kyerɛ saa .
But not to everyone !	Nanso , ɛnyɛ obiara na ɔte saa !
*	*
Or were they deceived ?	Anaasɛ wɔdaadaa wɔn ?
None of those .	Ɛnyɛ emu biara .
9 , 10 .	9 , 10 .
What is that ?	Ɛno ne dɛn ?
That is now .	Ɛno mu na yɛwɔ yi .
17 , 18 .	17 , 18 .
What of the later rains ?	Na asusow nso ɛ ?
It really would !	Na ɛbɛba nso !
But it is now !	Nanso , ada adi mprempren !
We see it .	Yehu .
Let us be vigilant !	Momma yɛn ani nna hɔ !
Let us be diligent !	Momma yɛnyɛ nsi !
[ Footnotes ]	[ Ase hɔ asɛm ]
Do You Recall ?	So Wokae ?
[ Pictures on page 23 ]	[ Kratafa 17 mfonini ahorow ]
No .	Dabi .
Obviously not .	Dabida .
Why has he done so ?	Dɛn nti na wayɛ saa ?
What does this mean ?	Dɛn na eyi kyerɛ ?
There are no exceptions .	Etumi to obiara .
They Did Jehovah’s Will	Wɔyɛɛ Yehowa Apɛde
Land is near !	Wɔabɛn asase !
* But Paul stops them .	* Nanso Paulo ma wogyae .
Shipwrecked	Hyɛn no Bɔ
Miracle on Malta	Anwonwade Wɔ Malta
But look !	Nanso hwɛ !
Lesson for Us	Asuade Ma Yɛn
[ Footnotes ]	[ Ase hɔ asɛm ]
A Victory Over Evil	Bɔne So Nkonimdi
Read With Your Children	Wo Ne Wo Mma Nkenkan Ade
[ Footnote ]	[ Ase hɔ asɛm ]
A Difficult Language	Kasa a Ne Sua Yɛ Den
Spiritual Fruitage	Honhom Fam Aba
[ Footnote ]	[ Ase hɔ asɛm ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
The Communication Gap	Nkitahodi mu a Ɛtetew
Help From God’s Word	Mmoa a Efi Onyankopɔn Asɛm Mu
How ?	Ɔkwan bɛn so na ɛte saa ?
[ Picture on page 4 ]	[ Kratafa 18 mfonini ]
[ Picture on page 5 ]	[ Kratafa 5 mfonini ]
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
Happy Reunion	Nhyiam a Ɛyɛ Anigye
Convention Highlights	Nhyiam no ho Nsɛntitiriw
[ Pictures on page 8 ]	[ Kratafa 8 mfonini ahorow ]
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
Jehovah Shows the Way	Yehowa Kyerɛ Ɔkwan No
9 , 10 .	9 , 10 .
Ahaz ’ Bad Example	Ahas Nhwɛso Bɔne
Why ?	Dɛn ntia ?
What were the facts ?	Ná nokwasɛm no ne dɛn ?
The same is still true .	Ɛte saa ara nnɛ .
Do You Recall ?	So Wokae ?
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
1 , 2 .	1 , 2 .
What does this involve ?	Dɛn na eyi hwehwɛ ?
Why ?	Dɛn ntia ?
How ?	Ɔkwan bɛn so na ɛte saa ?
No .	Dabi .
6 , 7 .	6 , 7 .
Learn what ?	Dɛn na yensua ?
In no way !	Dabida !
Resolution	Tirimbɔ
13 , 14 .	13 , 14 .
15 , 16 .	15 , 16 .
17 , 18 .	17 , 18 .
21 - 23 .	21 - 23 .
24 , 25 .	24 , 25 .
“ God Is for Us ”	“ Onyankopɔn Wɔ Yɛn Afa ”
[ Footnote ]	[ Ase hɔ asɛm ]
Do You Recall ?	So Wokae ?
[ Pictures on page 18 ]	[ Kratafa 22 mfonini ahorow ]
Then you are not alone .	Sɛ ɛte saa a , ɛnkaa wo nko .
Support and Assistance	Nkuranhyɛ ne Mmoa
Jehovah God himself !	Ɛyɛ Yehowa Nyankopɔn ankasa !
◆ Loss of a loved one .	◆ Ɔdɔfo bi wu .
◆ Sickness .	◆ Yare .
Please get better soon .	Mesrɛ sɛ wo ho nyɛ wo den ntɛm .
Best wishes .	Wo ho ntɔ wo .
Vova . ’ ”	Vova . ’ ”
◆ Depression .	◆ Adwenemhaw .
Wisdom From Above	Nyansa a Efi Soro
What is that ?	Ɛno ne dɛn ?
Concerning an Awake !	Sɛ nhwɛso no , abrante bi a ɔwɔ Russia kyerɛw Nyan !
He wants me to live .	Ɔpɛ sɛ metra ase .
[ Footnote ]	[ Ase hɔ asɛm ]
Names have been changed .	Wɔasesa edin ahorow no .
[ Pictures on page 26 ]	[ Kratafa 19 mfonini ]
What traits ?	Na ɛyɛ su bɛn ?
Who was Saul ?	Na hena ne Saul ?
Saul’s Family Background	Abusua a Saul Fi Mu
How ?	Ɔkwan bɛn so na ɛte saa ?
Saul’s Education	Saul Nhomasua
*	*
Abilities Put to Good Use	Ɔdom Akyɛde a Ɔde Dii Dwuma Ɔkwan Pa So
Is that true of you ?	So saa na wote ?
[ Footnote ]	[ Ase hɔ asɛm ]
[ Credit Line ]	[ Asɛm Fibea ]
Saul’s Roman Name	Saul Roma Din
[ Credit Line ]	[ Asɛm Fibea ]
Homicides .	Awudi .
Violence against women .	Basabasa a wɔyɛ mmea .
What should I do ? ”	Dɛn na menyɛ ? ”
Are we not also sinful ?	So yɛn nso yɛnyɛ abɔnefo ?
Miserable man that I am !	Me manehunufo !
What about you ?	Na wo nso ɛ ?
By all means !	Ɔkwan biara so !
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
Do you ?	Ɛte saa wɔ wo fam anaa ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
The Bible’s View of Time	Nea Bible Ka Wɔ Bere Ho
Why not ?	Dɛn ntia ?
*	*
God’s Time to Act Is Here	Bere Adu sɛ Onyankopɔn Bu Atɛn
Time for You to Act	Bere a Ɛsɛ sɛ Woyɛ Ho Biribi
God is not slow .	Onyankopɔn nyɛ nyaa .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 6 ]	[ Kratafa 6 mfonini ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
She relates :	Yɛntie n’anom asɛm :
I was taken aback .	Me ho dwiriw me .
I finally consented .	Awiei koraa no , mepenee so .
[ Pictures on page 8 ]	[ Kratafa 8 mfonini ahorow ]
How can he do this ?	Ɔkwan bɛn so na obetumi ayɛ eyi ?
How so ?	Ɔkwan bɛn so ?
Indeed , we do !	Nokwarem no , yehu !
How do they do this ?	Ɔkwan bɛn so na yɛyɛ eyi ?
How can an elder help ?	Ɔpanyin no bɛyɛ dɛn atumi aboa no ?
with the downhearted .	mu nsɛm a ɛhyɛ nkuran ho nso .
“ Building Up ” the Flock	Nguan no a ‘ Wɔbɛhyɛ Wɔn Den ’
Men Who Promote Unity	Mmarima a Wɔhyɛ Biakoyɛ Ho Nkuran
How do they do this ?	Ɔkwan bɛn so na yɛyɛ eyi ?
Protecting the Flock	Nguan no Ho Ban a Wɔbɛbɔ
[ Footnotes ]	[ Ase hɔ asɛm ]
Do You Recall ?	So Wokae ?
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
[ Picture on page 10 ]	[ Kratafa 10 mfonini ]
Illustrate .	Yɛ ho mfatoho .
What a humble spirit !	Ahobrɛase honhom bɛn ara ni !
Not at all !	Dabida !
C .	C .
H .	H .
Why ?	Dɛn ntia ?
17 , 18 .	17 , 18 .
Consider an experience .	Susuw osuahu yi ho hwɛ .
How Would You Respond ?	Wubebua Dɛn ?
[ Picture on page 16 ]	[ Kratafa 21 mfonini ]
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
[ Pictures on page 18 ]	[ Kratafa 22 mfonini ahorow ]
Growing Up in Lithuania	Minyinii Wɔ Lithuania
Keeping My Promise	Me Bɔhyɛ So a Madi
Early Tests of Faith	Gyidi Ho Sɔhwɛ Mfiase
Ban and Rearrest	Nsa a Wɔde To Yɛn So ne Kyere a Wɔkyere Me Bio
Keeping Faith in Prison	Gyidi Mu a Mikurae Wɔ Afiase
Adjusting Needs	Nsakrae a Ɛho Hia a Yɛyɛe
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
When we married in 1957	Bere a yɛwaree wɔ 1957 mu no
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
With Elsa today	Mene Elsa nnɛ
The answer : “ No .	Mmuae no yɛ : “ Dabi .
[ Box on page 27 ]	[ Kratafa 18 adaka ]
Class Statistics	Adesuakuw no ho Nsɛm
Number of students : 48	Adesuafo no dodow : 48
Average age : 33	Mfe dodow a wɔadi nkyekyem : 33
[ Picture on page 25 ]	
( 1 ) Deakin , D .	( 1 ) Deakin , D .
; Puopolo , M .	; Puopolo , M .
; Laguna , M .	; Laguna , M .
; Davault , S .	; Davault , S .
; Dominguez , E .	; Dominguez , E .
; Burke , J .	; Burke , J .
( 2 ) Gauter , S .	( 2 ) Gauter , S .
; Vazquez , W .	; Vazquez , W .
; Seabrook , A .	; Seabrook , A .
; Mosca , A .	; Mosca , A .
; Helly , L .	; Helly , L .
; Breward , L .	; Breward , L .
( 3 ) Brandon , T .	( 3 ) Brandon , T .
; Olivares , N .	; Olivares , N .
; Coleman , D .	; Coleman , D .
; Scott , V .	; Scott , V .
; Petersen , L .	; Petersen , L .
; McLeod , K .	; McLeod , K .
( 4 ) McLeod , J .	( 4 ) McLeod , J .
; Thompson , J .	; Thompson , J .
; Luberisse , F .	; Luberisse , F .
; Speta , B .	; Speta , B .
; Lehtimäki , M .	; Lehtimäki , M .
; Laguna , J .	; Laguna , J .
( 5 ) Gauter , U .	( 5 ) Gauter , U .
; Dominguez , R .	; Dominguez , R .
; Helly , F .	; Helly , F .
; Smith , M .	; Smith , M .
; Beyer , D .	; Beyer , D .
; Mosca , A .	; Mosca , A .
( 6 ) Scott , K .	( 6 ) Scott , K .
; Seabrook , V .	; Seabrook , V .
; Speta , R .	; Speta , R .
; Coleman , R .	; Coleman , R .
; Breward , L .	; Breward , L .
; Davault , W .	; Davault , W .
( 7 ) Smith , D .	( 7 ) Smith , D .
; Lehtimäki , T .	; Lehtimäki , T .
; Petersen , P .	; Petersen , P .
; Thompson , G .	; Thompson , G .
; Vazquez , R .	; Vazquez , R .
; Beyer , A .	; Beyer , A . (
( 8 ) Luberisse , M .	8 ) Luberisse , M .
; Deakin , C .	; Deakin , C .
; Brandon , D .	; Brandon , D .
; Puopolo , D .	; Puopolo , D .
; Olivares , O .	; Olivares , O .
; Burke , S .	; Burke , S .
A Multitude of Friends	Nnamfonom Pii
[ Pictures on page 31 ]	[ Kratafa 26 mfonini ahorow ]
APOLLOS	APOLO
ARISTARCHUS	ARISTARKO
BARNABAS	BARNABA
LYDIA	LIDIA
ONESIPHORUS	ONESIFORO
TERTIUS	TERTIO
TYCHICUS	TIHIKO
Safeguarding a Good Name	Din Pa Mu a Yebekura
So it is with our name .	Saa ara na ɛte wɔ yɛn din ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Vandalism ​ — Why ?	Nsɛmmɔnedi — Dɛn Ntia ?
Why ?	Dɛn ntia ?
Yes , why ?	Oo , dɛn nti na wɔyɛ saa ?
Or consider Claus .	Anaa susuw Claus ho .
Who Can Stop Vandalism ?	Hena Na Obetumi Ama Nsɛmmɔnedi Afi Hɔ ?
[ Footnote ]	[ Ase hɔ asɛm ]
Names have been changed .	Wɔasesa edin ahorow no .
What about you ?	Na wo nso ɛ ?
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
The result ?	Dɛn na efi mu bae ?
Get the Complete Picture	Hu Asɛm no Ani So Yiye
Certainly not !	Dabida !
Your View of Others	Adwene a Wukura Wɔ Afoforo Ho
In Material Giving	Wɔ Honam Fam Adekyɛ Mu
When Giving Counsel	Bere a Wode Afotu Rema
Work to Broaden Out	Bɔ Mmɔden Susuw Nneɛma Ho Kɔ Akyiri
[ Pictures on page 12 ]	[ Kratafa 12 mfonini ]
But why did life appear ?	Na dɛn nti na nkwa bae ?
Does life have a goal ?	So asetra wɔ atirimpɔw ?
“ Where Do We Come From ?	“ Ɛhe na Yefi Bae ?
What Are We ?	Dɛn Nti na Yɛwɔ Ha ?
Where Are We Going ? ”	Ɛhe na Yɛrekɔ ? ”
Many do .	Nnipa pii ho dwiriw wɔn .
*	*
7 , 8 .	7 , 8 .
Why do we suffer ?	Dɛn nti na yehu amane ?
Reasons to Believe	Nea Enti a Ɛsɛ sɛ Wugye Di
What does this imply ?	Dɛn na eyi kyerɛ ?
Did that just happen ?	So ɛno bae ara kwa ?
No human did .	Ɛnyɛ onipa biara na ɔyɛe .
How so ?	Ɔkwan bɛn so ?
Professors R .	Abenfo R .
S . and D .	S . ne D .
H .	H .
Animals do not do that .	Mmoa nyɛ saa .
Why ?	Dɛn ntia ?
20 , 21 .	20 , 21 .
[ Footnote ]	[ Ase hɔ asɛm ]
Viktor E .	Bere a Ɔbenfo Viktor E .
How Would You Respond ?	Wubebua Dɛn ?
What Is Your Conclusion ?	Wobɛka Dɛn
Our Universe	Yɛn Amansan Yi
↓ ↓	↓ ↓
↓ ↓	↓ ↓
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Without Cause Was Caused	Na Ɔma Ɛbae Ɔma Ɛbae
↓ ↓	↓ ↓
By Some THING By Some ONE	Biribi a Obi a Ɔte
Eternal Eternal	Ɛwɔ Hɔ Hɔ Daa DAA NA ƐMA ƐBAE Na Ɔma Ɛbae
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
Hardly !	Dabida !
W .	W .
C .	C .
Wand .	Wand yɛe no .
How satisfying !	Hwɛ sɛnea ɛma yenya abotɔyam !
And he did so .	Na ɔyɛɛ saa .
Consider this example .	Susuw saa nhwɛso yi ho hwɛ .
How can you help them ?	Wobɛyɛ dɛn atumi aboa wɔn ?
Why is this certain ?	Dɛn nti na yɛde ahotoso ka saa ?
[ Footnotes ]	[ Ase hɔ asɛm ]
Jesuit scholar M .	Jesuit nhomanimfo M .
J .	J .
Did You Note ?	Wohyɛɛ No Nsow ?
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
[ Picture on page 21 ]	[ Kratafa 17 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
This impressed many .	Eyi maa nnipa pii ho dwiriw wɔn .
Understandable Science	Nyansahu a Ntease Wom
I’ll check it out . ’ ”	Mɛsan ahwɛ mu bio . ’ ”
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
What a marvelous book !	Nhoma a emu yɛ anigye bɛn ara ni !
Hester and P .	Hester and P .
Questions From Readers	Nsemmisa a Efi Akenkanfo Hɔ
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
For them it is final .	Wɔn fam no , ɛno ara ne no .
*	*
The Stoning of Stephen	Wosiw Stefano Abo
He was a Pharisee .	Na ɔyɛ Farisini .
Bruce .	F .
Why ?	Dɛn ntia ?
*	*
Zeal Can Be Misdirected	Mmɔdenbɔ Betumi Ayɛ Nea Ɛmfata
But is it ?	Na so ɛte saa ?
[ Footnote ]	[ Ase hɔ asɛm ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Not at all !	Dabida !
What was that ?	Ná ɛyɛ dɛn ?
His Teachings	Ne Nkyerɛkyerɛ
His Deeds	Ne Nnwuma
Miracles ?	So eyi yɛ anwonwade ?
How did Jesus respond ?	Yesu yɛɛ n’ade dɛn wɔ ho ?
Some do .	Ɛyɛ den ma ebinom .
His Sacrifice	N’afɔrebɔ
How was this possible ?	Ɛyɛɛ dɛn na etumi baa saa ?
[ Picture on page 5 ]	[ Kratafa 5 mfonini ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
He patiently teaches us .	Ofi boasetɔ mu kyerɛkyerɛ yɛn .
They will make mistakes .	Wɔbɛyɛ mfomso ahorow .
Consider a few .	Susuw kakraa bi ho .
Illustrate .	Yɛ ho mfatoho .
What does that mean ?	Eyi kyerɛ dɛn ?
Do You Remember ?	So Wokae ?
[ Pictures on page 10 ]	[ Kratafa 25 mfonini ahorow ]
Explain .	Kyerɛkyerɛ mu .
What was it ?	Na ɛno ne dɛn ?
Yes !	Yiw !
What does that involve ?	Dɛn na ɛno hwehwɛ ?
Use Teaching Tools Wisely	Fa Nnwinnade a Wɔde Kyerɛkyerɛ no Di Dwuma Nyansam
How helpful that can be !	Hwɛ sɛnea eyi betumi ayɛ mmoa ankasa !
Do not give up .	Mma w’abam mmu .
Rewards From Perseverance	Animia so Akatua Ahorow
Planning is needed .	Nhyehyɛe ho hia .
Some were executed .	Wokum ebinom .
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
What can be done ?	Dɛn na wobetumi ayɛ ?
Building Up the Heart	Koma no a Yɛbɛhyɛ no Den
5 , 6 .	5 , 6 .
Then , listen patiently .	di dwuma .
Do not overreact .	Afei , fa boasetɔ tie .
11 , 12 .	11 , 12 .
13 , 14 .	13 , 14 .
What a privilege !	Hwɛ hokwan ara a ɛyɛ !
It requires teaching .	Egye nkyerɛkyerɛ .
Can You Explain ?	Wubetumi Akyerɛkyerɛ Mu ?
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
[ Picture on page 21 ]	[ Kratafa 17 mfonini ]
This discouraged us .	Eyi maa yɛn abam bui .
There I met Edminia .	Ɛhɔ na mihyiaa Edminia .
Enduring Persecution	Ɔtaa Ano a Yegyina
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
See Awake !	Hwɛ June 8 , 1993 Nyan !
[ Pictures on page 24 ]	[ Kratafa 28 mfonini ahorow ]
[ Picture on page 25 ]	
[ Picture on page 25 ]	
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
With my wife	Me ne me yere
They Did Jehovah’s Will	Wɔyɛɛ Yehowa Apɛde
*	*
An Intriguing Report	Amanneɛbɔ a Ɛyɛ Anigye
*	*
Lesson for Us	Asuade Ma Yɛn
How ?	Ɔkwan bɛn so na ɛte saa ?
[ Footnotes ]	[ Ase hɔ asɛm ]
The result ?	Dɛn na efi mu bae ?
What about us ?	Na yɛn nso ɛ ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
*	*
What is its origin ?	Efi he ?
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 28 ]	[ Mfonini wɔ kratafa 14 ]
[ Picture on page 29 ]	[ Mfonini wɔ kratafa 29 ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
An Inherent Human Need	Ahiade Bi a Wonya Fi Awo Mu
[ Picture on page 3 ]	[ Kratafa 3 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
[ Picture on page 4 ]	[ Kratafa 18 mfonini ]
Alexander the Great	Alexander Ɔkɛseɛ
[ Credit Line ]	[ Asɛm Fibea ]
Musei Capitolini , Roma	Musei Capitolini , Roma
